MEDICAL LOOKUP REPORT

Found Searches:
| Name                              | Speciality                                                                                    | State   | Status                   | Link                                                                                                         | Source                                                                                                |
| Brian Michael Schultz             | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Christopher David Schultz         | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Christopher Paul Schultz          | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Claire Lehman Schultz             | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Claire Lehman Schultz             | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Daniel Gordon Schultz             | N/A                                                                                           | NM      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| David Harold Schultz              | N/A                                                                                           | CA      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Emily Sayre Schultz               | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Emily Virginia Schultz            | N/A                                                                                           | IN      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Erik T Schultz                    | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Jeffrey Allen Schultz             | N/A                                                                                           | IL      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| JESS SCHULTZ                      | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Jess Morgan Schultz               | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| John Frank Schultz                | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| John Richard Schultz              | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| John William Schultz              | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Jonathan Steven Schultz           | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Jonathan Steven Schultz           | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Kari Anne Schultz                 | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Kiely Michele Schultz             | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Kiely Michele Schultz             | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Leonard Burton Schultz            | N/A                                                                                           | TX      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Linda Maurine Schultz             | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Lindsey S Schultz                 | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Meredith Marie Schultz            | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Meredith Marie Schultz            | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Merle William Schultz             | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Michael Frederick Schultz         | N/A                                                                                           | TX      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Michelle Henry Schultz            | N/A                                                                                           | IL      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Nancy Joan Schultz                | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Norman Jerry Schultz              | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Pennie Schultz                    | N/A                                                                                           | WY      | Inactive                 | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| R J Black Schultz                 | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Randall Reed Schultz              | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Richard Donald Schultz            | N/A                                                                                           | NE      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Russell Carl Schultz              | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Summer Lewise Schultz             | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Terry Keith Schultz               | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Tobey Schultz                     | N/A                                                                                           | TN      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Dietrich Werner Schultze          | N/A                                                                                           | PA      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Peter Michael Schultze            | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Leslie John Schultzel             | N/A                                                                                           | FL      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Aylit Schultz                     | Internal Medicine, Nephrology                                                                 |         | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/221609                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Daniel Schultz                    | Cytopathology, Pathology                                                                      | MI      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/60365                                                   | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Frank Schultz                     | Pediatrics                                                                                    | NH      | Retired                  | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/45712                                                   | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Gerald Schultz                    | Ophthalmology                                                                                 | CA      | Inactive                 | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/31984                                                   | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Myles Schultz                     | Internal Medicine                                                                             | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/277194                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Natalie Schultz                   | Obstetrics and Gynecology, Reproductive Endocrinology/Infertility                             | IL      | Lapsed                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/48046                                                   | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Rachel Schultz                    | Anesthesiology                                                                                | CT      | Lapsed                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/159506                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Dietrich Schultze                 | Diagnostic Radiology, Interventional Radiology                                                | MN      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/269283                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Roy Schultz-Ross                  | Legal Medicine, Psychiatry                                                                    | HI      | Lapsed                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/73262                                                   | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Schultz, David M                  | Anesthesiology                                                                                |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Schultz, Duane A                  |                                                                                               | MT      | N/A                      | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Schultz, Pennie L                 | Pediatrics                                                                                    | WA      | Active                   | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Schultz, David P                  | Psychiatry                                                                                    | OR      | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| SCHULTZ, DAVID W                  | Endocrinology                                                                                 |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Schultz, Robert S                 | Orthopedic Surgery                                                                            | MT      | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Richard Schultz                   | N/A                                                                                           | AK      | Lapsed                   | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| STEVEN SCHULTZ                    | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| JAN-AKE SCHULTZ                   | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| MORRIS SCHULTZ                    | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| MORRIS SCHULTZ                    | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| JOHN SCHULTZ                      | N/A                                                                                           | AK      | Active                   | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| NANCY SCHULTZ                     | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| DAVID SCHULTZ                     | N/A                                                                                           | AK      | Lapsed                   | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| PHILIP SCHULTZ                    | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| MORRIS SCHULTZ                    | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| JAN-AKE SCHULTZ                   | N/A                                                                                           | AK      | Active                   | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| SCOTT SCHULTZ                     | N/A                                                                                           | AK      | Lapsed                   | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| JAN-AKE SCHULTZ                   | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| SCOTT SCHULTZ                     | N/A                                                                                           | AK      | Expired                  | N/A                                                                                                          | https://www.commerce.alaska.gov/cbp/main/search/professional                                          |
| Briones, Liam Alexander           | Internal Medicine                                                                             | AZ      | N/A                      | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/Public/Profile.aspx?entID=1728311&licID=307784&licType=1 | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| O'Sullivan, Liam Patrick          | Emergency Medicine                                                                            | AZ      | N/A                      |                                                                                                              | https://azbomprod.azmd.gov/glsuiteweb/clients/azbom/public/webverificationsearch.aspx                 |
| Liam John Lunstrum                | N/A                                                                                           | CO      | Expired                  | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Liam Denis Mccarthy               | N/A                                                                                           | CO      | Active                   | N/A                                                                                                          | https://apps.colorado.gov/dora/licensing/Lookup/LicenseLookup.aspx                                    |
| Liam Bosch                        | Orthopedic Surgery                                                                            | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/291434                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Burke                        | Family Medicine                                                                               | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/275506                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Casserly                     | Internal Medicine, Nephrology                                                                 |         | Lapsed                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/151673                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Haveran                      | Colon and Rectal Surgery, General Surgery                                                     | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/222680                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam John Hurley                  | Urological Surgery                                                                            | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/57975                                                   | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Jette                        | Internal Medicine                                                                             | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/274132                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Mahoney                      | Emergency Medicine                                                                            | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/278720                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Porter                       | Emergency Medical Services, Emergency Medicine                                                | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/277963                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Liam Sullivan                     | Anesthesiology, Pediatric Anesthesiology (Anesthesiology)                                     | MA      | Active                   | http://profiles.ehs.state.ma.us/ProfilesV3/Physician/288098                                                  | http://profiles.ehs.state.ma.us/ProfilesV3                                                            |
| Cunningham, Leon D                | Dermatology                                                                                   |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Rousseau, Leanne M                | Family Medicine                                                                               |         | Active                   | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| CURTIS, LYNN A                    | Pediatrics, Physical Medicine and Rehabilitation                                              | MT      | Active                   | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| BROTHERS III, LYMAN R             | Urology                                                                                       |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| Eskelson, Lynn P                  | Family Medicine                                                                               |         | Active                   | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| SPAULDING, LYMAN B                | Gynecology                                                                                    |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| NEAL, LEON M                      | Radiology                                                                                     |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
| SCHRIENER, LEON H                 | Neurological Surgery                                                                          |         | Expired                  | N/A                                                                                                          | https://wybomprod.glsuite.us/GLSuiteWeb/Clients/WYBOM/Public/LicenseeSearch.aspx?SearchType=Physician |
